"Cluster","n_Upregulated","n_Downregulated","Median_logFC","Total_DEGs","Median_effect","Sensitivity_Score"
"4",24,50,0.373729829796843,74,0.373729829796843,27.6560074049664
"0",24,59,0.306933612944753,83,0.306933612944753,25.4754898744145
"8",20,54,-0.316532540106489,74,0.316532540106489,23.4234079678802
"3",35,50,-0.271476976076028,85,0.271476976076028,23.0755429664624
"2",20,47,0.330078606252885,67,0.330078606252885,22.1152666189433
"1",24,50,0.282678463792429,74,0.282678463792429,20.9182063206398
"5",23,48,0.27433444263118,71,0.27433444263118,19.4777454268138
"22",15,38,0.364119839852117,53,0.364119839852117,19.2983515121622
"10",24,47,-0.270096671063495,71,0.270096671063495,19.1768636455081
"28",23,32,-0.348317416027933,55,0.348317416027933,19.1574578815363
"11",23,44,0.282862878334966,67,0.282862878334966,18.9518128484427
"7",19,41,0.315225926650331,60,0.315225926650331,18.9135555990199
"12",9,33,0.438380422451475,42,0.438380422451475,18.411977742962
"6",23,46,0.266575158750124,69,0.266575158750124,18.3936859537586
"13",13,40,0.316345334040274,53,0.316345334040274,16.7663027041345
"16",19,37,0.292845674798129,56,0.292845674798129,16.3993577886952
"9",8,40,0.34147566082332,48,0.34147566082332,16.3908317195194
"14",22,34,0.290303969724302,56,0.290303969724302,16.2570223045609
"17",13,36,0.331088388407968,49,0.331088388407968,16.2233310319904
"27",7,40,0.341170173217128,47,0.341170173217128,16.034998141205
"18",9,39,0.313203053530719,48,0.313203053530719,15.0337465694745
"19",17,36,0.27995151799317,53,0.27995151799317,14.837430453638
"40",1,27,0.529166231001888,28,0.529166231001888,14.8166544680529
"23",16,33,-0.296232180273081,49,0.296232180273081,14.5153768333809
"21",19,38,0.251010169825298,57,0.251010169825298,14.307579680042
"34",0,32,0.426056139052362,32,0.426056139052362,13.6337964496756
"25",10,31,0.33079660029365,41,0.33079660029365,13.5626606120396
"24",11,38,0.275795689197706,49,0.275795689197706,13.5139887706876
"20",14,38,-0.251419870481289,52,0.251419870481289,13.073833265027
"31",7,35,0.309283207633064,42,0.309283207633064,12.9898947205887
"35",7,34,0.316444142966725,41,0.316444142966725,12.9742098616357
"32",7,35,0.296708104488266,42,0.296708104488266,12.4617403885072
"15",11,34,-0.273375323631061,45,0.273375323631061,12.3018895633977
"29",8,29,0.332317168320542,37,0.332317168320542,12.29573522786
"43",9,33,0.287684012803674,42,0.287684012803674,12.0827285377543
"36",10,36,0.262074024602098,46,0.262074024602098,12.0554051316965
"46",17,30,-0.251592660775253,47,0.251592660775253,11.8248550564369
"39",6,36,-0.27345536894624,42,0.27345536894624,11.4851254957421
"52",1,26,0.417944435485062,27,0.417944435485062,11.2844997580967
"33",12,28,0.275253989583462,40,0.275253989583462,11.0101595833385
"26",10,12,0.498612194264937,22,0.498612194264937,10.9694682738286
"30",11,29,0.271844678626047,40,0.271844678626047,10.8737871450419
"37",12,29,-0.265175263627085,41,0.265175263627085,10.8721858087105
"50",2,23,0.4071810207242,25,0.4071810207242,10.179525518105
"44",3,30,0.293272282401693,33,0.293272282401693,9.67798531925588
"41",3,26,0.332303885991021,29,0.332303885991021,9.63681269373962
"38",9,28,0.258545814510088,37,0.258545814510088,9.56619513687327
"57",4,26,0.302309731262715,30,0.302309731262715,9.06929193788144
"42",2,26,0.321753080608227,28,0.321753080608227,9.00908625703036
"49",0,24,0.3329020959608,24,0.3329020959608,7.9896503030592
"45",1,24,0.317675546488219,25,0.317675546488219,7.94188866220547
"65",7,18,-0.305392768581615,25,0.305392768581615,7.63481921454036
"56",0,18,0.398272618125572,18,0.398272618125572,7.16890712626029
"47",5,21,-0.271111590426751,26,0.271111590426751,7.04890135109553
"62",1,16,0.413219432424548,17,0.413219432424548,7.02473035121732
"61",4,21,-0.274903972086784,25,0.274903972086784,6.87259930216959
"51",3,17,0.32533663812441,20,0.32533663812441,6.5067327624882
"48",2,18,0.321725524745221,20,0.321725524745221,6.43451049490441
"69",0,18,0.355512150811894,18,0.355512150811894,6.39921871461409
"59",3,19,-0.267695779514888,22,0.267695779514888,5.88930714932754
"63",0,20,0.288871629520091,20,0.288871629520091,5.77743259040183
"54",4,18,0.262320308982376,22,0.262320308982376,5.77104679761227
"53",0,17,0.338875523358702,17,0.338875523358702,5.76088389709793
"58",0,17,0.305799247955901,17,0.305799247955901,5.19858721525032
"60",1,14,0.301054583137353,15,0.301054583137353,4.5158187470603
"67",1,14,0.2934239713326,15,0.2934239713326,4.40135956998901
"66",0,16,-0.26370302926609,16,0.26370302926609,4.21924846825745
"64",0,14,-0.254472444416601,14,0.254472444416601,3.56261422183241
"71",0,10,0.352930970222287,10,0.352930970222287,3.52930970222287
"68",0,11,0.319304710656038,11,0.319304710656038,3.51235181721642
"55",0,4,0.581463324539316,4,0.581463324539316,2.32585329815727
"73",0,5,0.290393616922878,5,0.290393616922878,1.45196808461439
"74",0,3,0.454410247490526,3,0.454410247490526,1.36323074247158
"72",0,4,-0.330648011634666,4,0.330648011634666,1.32259204653866
"70",0,0,0.430561741025982,0,0,0
"75",0,0,0.64665147989727,0,0,0
"76",0,0,-0.258651059753543,0,0,0
"77",0,0,0.306677632667709,0,0,0
