"","Cluster","n_Upregulated","n_Downregulated","Median_logFC","Total_DEGs","Median_effect","Sensitivity_Score","n_cells","DEGs_per_100_cells","n_cells_befa","n_cells_gf","n_cells_total","n_cells_min"
"1","52",1,26,0.417944435485062,27,0.417944435485062,20.5172722874485,294,49.0909090909091,55,149,204,55
"2","12",9,33,0.438380422451475,42,0.438380422451475,18.0509585715313,977,41.1764705882353,102,513,615,102
"3","34",0,32,0.426056139052362,32,0.426056139052362,17.4792262175328,513,41.025641025641,305,78,383,78
"4","50",2,23,0.4071810207242,25,0.4071810207242,15.6608084893923,310,38.4615384615385,65,116,181,65
"5","69",0,18,0.355512150811894,18,0.355512150811894,13.9113450317698,147,39.1304347826087,46,50,96,46
"6","26",10,12,0.498612194264937,22,0.498612194264937,12.7551956672426,582,25.5813953488372,86,363,449,86
"7","65",7,18,-0.305392768581615,25,0.305392768581615,12.516097073017,189,40.9836065573771,65,61,126,61
"8","57",4,26,0.302309731262715,30,0.302309731262715,12.255799916056,252,40.5405405405405,74,97,171,74
"9","40",1,27,0.529166231001888,28,0.529166231001888,12.1447987443056,424,22.9508196721311,122,214,336,122
"10","56",0,18,0.398272618125572,18,0.398272618125572,11.7523067643611,263,29.5081967213115,61,107,168,61
"11","46",17,30,-0.251592660775253,47,0.251592660775253,11.155523638148,349,44.3396226415094,106,125,231,106
"12","35",7,34,0.316444142966725,41,0.316444142966725,11.0890682578083,487,35.042735042735,117,173,290,117
"13","61",4,21,-0.274903972086784,25,0.274903972086784,10.9088877812216,223,39.6825396825397,63,81,144,63
"14","49",0,24,0.3329020959608,24,0.3329020959608,10.6528670707456,313,32,75,114,189,75
"15","43",9,33,0.287684012803674,42,0.287684012803674,10.5067204676124,380,36.5217391304348,115,140,255,115
"16","41",3,26,0.332303885991021,29,0.332303885991021,10.4747964062387,407,31.5217391304348,92,159,251,92
"17","62",1,16,0.413219432424548,17,0.413219432424548,10.3304858106137,219,25,68,77,145,68
"18","71",0,10,0.352930970222287,10,0.352930970222287,10.0837420063511,109,28.5714285714286,35,42,77,35
"19","27",7,40,0.341170173217128,47,0.341170173217128,10.0218738382531,564,29.375,160,200,360,160
"20","28",23,32,-0.348317416027933,55,0.348317416027933,9.92614398007062,563,28.4974093264249,230,193,423,193
"21","59",3,19,-0.267695779514888,22,0.267695779514888,9.49888249891538,233,35.4838709677419,62,102,164,62
"22","29",8,29,0.332317168320542,37,0.332317168320542,9.31495093019701,547,28.030303030303,132,191,323,132
"23","67",1,14,0.2934239713326,15,0.2934239713326,8.98236646936532,172,30.6122448979592,49,65,114,49
"24","58",0,17,0.305799247955901,17,0.305799247955901,8.96308140560401,242,29.3103448275862,58,106,164,58
"25","22",15,38,0.364119839852117,53,0.364119839852117,8.77197796007372,676,24.0909090909091,220,222,442,220
"26","63",0,20,0.288871629520091,20,0.288871629520091,8.75368574303308,217,30.3030303030303,66,74,140,66
"27","39",6,36,-0.27345536894624,42,0.27345536894624,8.57098917592693,446,31.3432835820896,134,159,293,134
"28","44",3,30,0.293272282401693,33,0.293272282401693,8.48946080636481,374,28.9473684210526,128,114,242,114
"29","68",0,11,0.319304710656038,11,0.319304710656038,8.36274242194385,158,26.1904761904762,42,73,115,42
"30","33",12,28,0.275253989583462,40,0.275253989583462,8.27831547619434,526,30.0751879699248,133,197,330,133
"31","42",2,26,0.321753080608227,28,0.321753080608227,8.26521674956914,393,25.6880733944954,109,133,242,109
"32","37",12,29,-0.265175263627085,41,0.265175263627085,8.17457579602293,456,30.8270676691729,133,171,304,133
"33","31",7,35,0.309283207633064,42,0.309283207633064,8.06825759042776,539,26.0869565217391,161,172,333,161
"34","60",1,14,0.301054583137353,15,0.301054583137353,8.06396204832196,226,26.7857142857143,56,97,153,56
"35","17",13,36,0.331088388407968,49,0.331088388407968,7.9526132509757,786,24.0196078431373,204,297,501,204
"36","54",4,18,0.262320308982376,22,0.262320308982376,7.79871188866523,284,29.7297297297297,74,128,202,74
"37","21",19,38,0.251010169825298,57,0.251010169825298,7.77585852176196,726,30.9782608695652,184,242,426,184
"38","25",10,31,0.33079660029365,41,0.33079660029365,7.61947225395485,609,23.0337078651685,178,179,357,178
