"ensembl_gene_id","external_gene_name","go_id","name_1006"
"ENSDARG00000074552","NDUFS7","GO:0045271","respiratory chain complex I"
"ENSDARG00000074552","NDUFS7","GO:0046872","metal ion binding"
"ENSDARG00000074552","NDUFS7","GO:0008137","NADH dehydrogenase (ubiquinone) activity"
"ENSDARG00000074552","NDUFS7","GO:0009060","aerobic respiration"
"ENSDARG00000074552","NDUFS7","GO:0051539","4 iron, 4 sulfur cluster binding"
"ENSDARG00000074552","NDUFS7","GO:0032981","mitochondrial respiratory chain complex I assembly"
"ENSDARG00000074552","NDUFS7","GO:0048038","quinone binding"
"ENSDARG00000074552","NDUFS7","GO:0015990","electron transport coupled proton transport"
"ENSDARG00000074552","NDUFS7","GO:0005739","mitochondrion"
"ENSDARG00000074552","NDUFS7","GO:0051536","iron-sulfur cluster binding"
"ENSDARG00000035427","surf6","GO:0005634","nucleus"
"ENSDARG00000035427","surf6","GO:0005737","cytoplasm"
"ENSDARG00000035427","surf6","GO:0005739","mitochondrion"
"ENSDARG00000035427","surf6","GO:0007507","heart development"
"ENSDARG00000035427","surf6","GO:0016212","kynurenine-oxoglutarate transaminase activity"
"ENSDARG00000023645","KYAT1","GO:0005634","nucleus"
"ENSDARG00000023645","KYAT1","GO:0005737","cytoplasm"
"ENSDARG00000023645","KYAT1","GO:0005739","mitochondrion"
"ENSDARG00000023645","KYAT1","GO:0007507","heart development"
"ENSDARG00000023645","KYAT1","GO:0016212","kynurenine-oxoglutarate transaminase activity"
"ENSDARG00000099900","TWNK","GO:0005524","ATP binding"
"ENSDARG00000099900","TWNK","GO:0005739","mitochondrion"
"ENSDARG00000099900","TWNK","GO:0003697","single-stranded DNA binding"
"ENSDARG00000099900","TWNK","GO:0006260","DNA replication"
"ENSDARG00000099900","TWNK","GO:0003678","DNA helicase activity"
"ENSDARG00000099900","TWNK","GO:0006264","mitochondrial DNA replication"
"ENSDARG00000099900","TWNK","GO:0043139","5'-3' DNA helicase activity"
"ENSDARG00000075517","si:ch211-120k19.1","GO:0016020","membrane"
"ENSDARG00000075517","si:ch211-120k19.1","GO:0005737","cytoplasm"
"ENSDARG00000075517","si:ch211-120k19.1","GO:0005739","mitochondrion"
"ENSDARG00000075517","si:ch211-120k19.1","GO:0061668","mitochondrial ribosome assembly"
"ENSDARG00000044809","FPGS","GO:0005737","cytoplasm"
"ENSDARG00000044809","FPGS","GO:0046872","metal ion binding"
"ENSDARG00000044809","FPGS","GO:0005829","cytosol"
"ENSDARG00000044809","FPGS","GO:0005524","ATP binding"
"ENSDARG00000044809","FPGS","GO:0005739","mitochondrion"
"ENSDARG00000044809","FPGS","GO:0005743","mitochondrial inner membrane"
"ENSDARG00000044809","FPGS","GO:0016874","ligase activity"
"ENSDARG00000044809","FPGS","GO:0005759","mitochondrial matrix"
"ENSDARG00000044809","FPGS","GO:0006730","one-carbon metabolic process"
"ENSDARG00000044809","FPGS","GO:0004326","tetrahydrofolylpolyglutamate synthase activity"
"ENSDARG00000044809","FPGS","GO:0009396","folic acid-containing compound biosynthetic process"
"ENSDARG00000044809","FPGS","GO:0046901","tetrahydrofolylpolyglutamate biosynthetic process"
